Round_Number,Position,Points,Goals_Scored,Season
1,13,1,1,2014-15
2,19,1,1,2014-15
3,14,4,3,2014-15
4,15,5,4,2014-15
5,8,8,6,2014-15
6,6,11,9,2014-15
7,11,11,9,2014-15
8,14,11,9,2014-15
9,12,14,11,2014-15
10,13,14,12,2014-15
11,10,17,15,2014-15
12,10,18,15,2014-15
13,12,19,15,2014-15
14,13,19,16,2014-15
15,12,22,18,2014-15
16,9,25,21,2014-15
17,6,28,24,2014-15
18,5,31,26,2014-15
19,3,34,30,2014-15
20,5,34,31,2014-15
21,5,37,34,2014-15
22,3,40,37,2014-15
23,5,40,39,2014-15
24,6,40,40,2014-15
25,5,43,41,2014-15
26,5,46,42,2014-15
27,5,49,44,2014-15
28,5,49,44,2014-15
29,4,52,45,2014-15
30,6,52,46,2014-15
31,7,52,46,2014-15
32,7,55,49,2014-15
33,7,58,53,2014-15
34,7,58,53,2014-15
35,6,61,57,2014-15
36,6,62,58,2014-15
37,6,62,59,2014-15
38,6,65,62,2014-15
39,7,66,64,2014-15
40,5,69,68,2014-15
41,7,70,70,2014-15
42,7,71,71,2014-15
43,7,71,71,2014-15
44,7,72,73,2014-15
45,7,75,75,2014-15
46,5,78,78,2014-15
