Round_Number,Position,Points,Goals_Scored,Season
1,8,1,2,2015-16
2,3,4,6,2015-16
3,10,4,6,2015-16
4,16,4,6,2015-16
5,19,4,7,2015-16
6,18,5,8,2015-16
7,21,5,9,2015-16
8,18,8,11,2015-16
9,19,8,12,2015-16
10,20,8,12,2015-16
11,19,11,14,2015-16
12,15,14,16,2015-16
13,12,17,19,2015-16
14,11,20,20,2015-16
15,12,20,20,2015-16
16,11,21,21,2015-16
17,11,24,23,2015-16
18,11,25,24,2015-16
19,10,28,26,2015-16
20,10,29,28,2015-16
21,10,29,30,2015-16
22,10,32,34,2015-16
23,9,33,34,2015-16
24,8,36,36,2015-16
25,10,36,37,2015-16
26,11,36,37,2015-16
27,11,36,38,2015-16
28,10,39,41,2015-16
29,10,40,42,2015-16
30,12,40,42,2015-16
31,13,40,42,2015-16
32,15,40,43,2015-16
33,12,43,46,2015-16
34,15,43,47,2015-16
35,16,43,48,2015-16
36,17,43,48,2015-16
37,17,43,48,2015-16
38,18,43,48,2015-16
39,17,46,51,2015-16
40,15,49,54,2015-16
41,13,52,57,2015-16
42,14,53,58,2015-16
43,13,56,60,2015-16
44,10,59,64,2015-16
45,10,62,67,2015-16
46,9,65,72,2015-16
