Round_Number,Position,Points,Goals_Scored,Season
1,18,0,1,2016-17
2,12,3,3,2016-17
3,6,6,4,2016-17
4,8,6,4,2016-17
5,14,7,5,2016-17
6,8,10,7,2016-17
7,8,11,8,2016-17
8,6,14,13,2016-17
9,9,14,14,2016-17
10,5,17,18,2016-17
11,7,18,18,2016-17
12,9,18,19,2016-17
13,8,19,19,2016-17
14,11,19,19,2016-17
15,10,22,21,2016-17
16,12,22,21,2016-17
17,14,22,23,2016-17
18,16,22,24,2016-17
19,18,22,24,2016-17
20,15,25,26,2016-17
21,14,28,27,2016-17
22,14,28,27,2016-17
23,14,29,29,2016-17
24,15,30,29,2016-17
25,14,33,32,2016-17
26,15,33,33,2016-17
27,15,33,34,2016-17
28,14,36,36,2016-17
29,12,39,39,2016-17
30,12,40,42,2016-17
31,12,40,44,2016-17
32,13,40,46,2016-17
33,14,40,47,2016-17
34,13,43,51,2016-17
35,14,44,52,2016-17
36,12,47,55,2016-17
37,14,47,55,2016-17
38,14,50,60,2016-17
39,12,53,62,2016-17
40,12,56,64,2016-17
41,12,56,65,2016-17
42,11,59,69,2016-17
43,11,60,70,2016-17
44,9,63,73,2016-17
45,10,64,74,2016-17
46,10,64,75,2016-17
