Round_Number,Position,Points,Goals_Scored,Season
1,1,3,5,2018-19
2,4,4,6,2018-19
3,2,7,8,2018-19
4,4,8,10,2018-19
5,8,8,10,2018-19
6,5,11,12,2018-19
7,2,14,14,2018-19
8,3,15,15,2018-19
9,7,15,16,2018-19
10,6,16,18,2018-19
11,6,17,19,2018-19
12,7,18,20,2018-19
13,12,18,20,2018-19
14,15,18,23,2018-19
15,16,18,23,2018-19
16,13,21,25,2018-19
17,15,21,27,2018-19
18,15,21,28,2018-19
19,18,21,30,2018-19
20,17,22,31,2018-19
21,18,22,33,2018-19
22,19,22,33,2018-19
23,18,25,34,2018-19
24,18,26,35,2018-19
25,18,27,35,2018-19
26,18,28,36,2018-19
27,17,31,39,2018-19
28,17,34,43,2018-19
29,18,34,43,2018-19
30,17,37,48,2018-19
31,18,37,49,2018-19
32,16,40,50,2018-19
33,17,40,50,2018-19
34,16,43,55,2018-19
35,15,46,58,2018-19
36,14,49,60,2018-19
37,15,49,60,2018-19
38,15,49,60,2018-19
39,14,50,60,2018-19
40,15,51,63,2018-19
41,14,54,65,2018-19
42,15,54,66,2018-19
43,16,55,67,2018-19
44,16,58,69,2018-19
45,12,61,70,2018-19
46,11,64,73,2018-19
