Player,From,Transfer Fee,Season,Transfer Type
Liam Moore,Leicester,,2014-15,Loan
Alan Judge,Blackburn,,2014-15,Direct
Will Grigg,MK Dons,,2014-15,End of loan
Charlie Adams,Stevenage,,2014-15,End of loan
Josh Clarke,Stevenage,,2014-15,End of loan
Emmanuel Oyeleke,Aldershot Town,,2014-15,End of loan
Josh Clarke,Dag & Red FC,,2014-15,End of loan
Jack O'Connell,Rochdale,,2014-15,End of loan
Lionel Stone,Woking FC,,2014-15,End of loan
Alfie Mawson,Wycombe,,2014-15,End of loan
Lionel Stone,Brentford U18,,2014-15,Direct
Nico Yennaris,Wycombe,,2014-15,End of loan
Sam Saunders,Wycombe,,2014-15,End of loan
Nick Proschwitz,Coventry,,2014-15,End of loan
Richard Lee,Fulham,,2014-15,End of loan
Emmanuel Oyeleke,Woking FC,,2014-15,End of loan
