Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Fri,2018-08-24,19:45 (00:15),Middlesbrough,1–0,West Brom,22906,Riverside Stadium,John Brooks,Match Report,
5,Sat,2018-08-25,15:00 (19:30),QPR,1–0,Wigan Athletic,11564,Loftus Road Stadium,Steve Martin,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Derby County,2–0,Preston,25257,iPro Stadium,David Webb,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Bolton,0–3,Sheffield Utd,14848,Macron Stadium,Andy Madley,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Norwich City,0–3,Leeds United,25944,Carrow Road,Simon Hooper,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Blackburn,1–0,Brentford,12094,Ewood Park,Tony Harrington,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Stoke City,2–0,Hull City,23311,Bet365 Stadium,Darren Bond,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Swansea City,0–1,Bristol City,20522,Liberty Stadium,Gavin Ward,Match Report,
5,Sat,2018-08-25,15:00 (19:30),Sheffield Weds,2–1,Ipswich Town,22499,Hillsborough Stadium,Jeremy Simpson,Match Report,
5,Sat,2018-08-25,17:00 (19:30),Aston Villa,1–1,Reading,33405,Villa Park tekonurmi,Darren England,Match Report,
5,Sat,2018-08-25,17:30 (22:00),Nott'ham Forest,2–2,Birmingham City,26799,The City Ground,Tim Robinson,Match Report,
5,Sun,2018-08-26,12:30 (17:00),Rotherham Utd,1–0,Millwall,8197,New York Stadium,Geoff Eltringham,Match Report,
,,,,,,,,,,,
6,Fri,2018-08-31,19:45 (00:15),Leeds United,0–0,Middlesbrough,35417,Elland Road,Tim Robinson,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Birmingham City,0–0,QPR,21155,St Andrew's Trillion Trophy Stadium,Jeremy Simpson,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Hull City,1–2,Derby County,12285,Kingston Communications Stadium,John Brooks,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Sheffield Utd,4–1,Aston Villa,26030,Bramall Lane,James Linington,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Reading,1–2,Sheffield Weds,14352,Madejski Stadium,Gavin Ward,Match Report,
6,Sat,2018-09-01,15:00 (19:30),West Brom,2–1,Stoke City,25183,The Hawthorns,Simon Hooper,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Brentford,2–1,Nott'ham Forest,10186,Griffin Park,Peter Bankes,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Preston,2–2,Bolton,16331,Deepdale Stadium,Andrew Davies,Match Report,
6,Sat,2018-09-01,15:00 (19:30),Wigan Athletic,1–0,Rotherham Utd,9584,The DW Stadium,Scott Duncan,Match Report,
6,Sat,2018-09-01,17:30 (22:00),Millwall,1–2,Swansea City,12440,The Den,Graham Scott,Match Report,
6,Sun,2018-09-02,12:00 (16:30),Ipswich Town,1–1,Norwich City,25690,Portman Road Stadium,Robert Jones,Match Report,
6,Sun,2018-09-02,13:30 (18:00),Bristol City,4–1,Blackburn,19769,Ashton Gate Stadium,David Webb,Match Report,
,,,,,,,,,,,
7,Fri,2018-09-14,19:45 (00:15),Birmingham City,1–1,West Brom,22715,St Andrew's Trillion Trophy Stadium,Andy Madley,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Sheffield Weds,2–2,Stoke City,24905,Hillsborough Stadium,Geoff Eltringham,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Brentford,2–0,Wigan Athletic,9951,Griffin Park,Darren England,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Bolton,1–2,QPR,13581,Macron Stadium,Oliver Langford,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Millwall,1–1,Leeds United,17195,The Den,Chris Kavanagh,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Rotherham Utd,1–0,Derby County,10707,New York Stadium,Peter Bankes,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Swansea City,0–0,Nott'ham Forest,19522,Liberty Stadium,Scott Duncan,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Norwich City,1–0,Middlesbrough,24642,Carrow Road,James Linington,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Preston,2–3,Reading,10849,Deepdale Stadium,Darren Bond,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Hull City,2–0,Ipswich Town,11650,Kingston Communications Stadium,Tony Harrington,Match Report,
7,Sat,2018-09-15,15:00 (19:30),Bristol City,1–0,Sheffield Utd,20540,Ashton Gate Stadium,John Brooks,Match Report,
7,Sat,2018-09-15,17:30 (22:00),Blackburn,1–1,Aston Villa,15982,Ewood Park,Steve Martin,Match Report,
,,,,,,,,,,,
8,Tue,2018-09-18,19:45 (00:15),Leeds United,3–0,Preston,27729,Elland Road,Geoff Eltringham,Match Report,
8,Tue,2018-09-18,19:45 (00:15),Ipswich Town,1–1,Brentford,14897,Portman Road Stadium,Darren Bond,Match Report,
8,Tue,2018-09-18,19:45 (00:15),Derby County,0–0,Blackburn,23580,iPro Stadium,Darren England,Match Report,
8,Tue,2018-09-18,19:45 (00:15),Aston Villa,2–0,Rotherham Utd,27991,Villa Park,Andrew Davies,Match Report,
8,Tue,2018-09-18,19:45 (00:15),Wigan Athletic,2–1,Hull City,8848,The DW Stadium,David Webb,Match Report,
8,Tue,2018-09-18,20:00 (00:30),Stoke City,1–0,Swansea City,22078,Bet365 Stadium,Paul Tierney,Match Report,
8,Tue,2018-09-18,20:00 (00:30),West Brom,4–2,Bristol City,22051,The Hawthorns,Jeremy Simpson,Match Report,
8,Wed,2018-09-19,19:45 (00:15),Nott'ham Forest,2–1,Sheffield Weds,26252,The City Ground,Tony Harrington,Match Report,
8,Wed,2018-09-19,19:45 (00:15),Middlesbrough,2–0,Bolton,21345,Riverside Stadium,David Coote,Match Report,
8,Wed,2018-09-19,19:45 (00:15),QPR,2–0,Millwall,12398,Loftus Road Stadium,Robert Jones,Match Report,
8,Wed,2018-09-19,19:45 (00:15),Sheffield Utd,0–0,Birmingham City,23525,Bramall Lane,Gavin Ward,Match Report,
8,Wed,2018-09-19,20:00 (00:30),Reading,1–2,Norwich City,12822,Madejski Stadium,Tim Robinson,Match Report,
,,,,,,,,,,,
9,Fri,2018-09-21,19:45 (00:15),Wigan Athletic,1–0,Bristol City,10192,The DW Stadium,Oliver Langford,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Leeds United,1–2,Birmingham City,34800,Elland Road,Peter Bankes,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Ipswich Town,0–0,Bolton,14755,Portman Road Stadium,Steve Martin,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Derby County,3–1,Brentford,25110,iPro Stadium,Andy Madley,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Nott'ham Forest,1–0,Rotherham Utd,27479,The City Ground,Robert Jones,Match Report,
9,Sat,2018-09-22,15:00 (19:30),West Brom,2–0,Millwall,23563,The Hawthorns,Tim Robinson,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Aston Villa,1–2,Sheffield Weds,35572,Villa Park,David Webb,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Stoke City,2–3,Blackburn,25673,Bet365 Stadium,Tony Harrington,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Middlesbrough,0–0,Swansea City,22881,Riverside Stadium,Simon Hooper,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Sheffield Utd,3–2,Preston,23857,Bramall Lane,Scott Duncan,Match Report,
9,Sat,2018-09-22,15:00 (19:30),Reading,3–0,Hull City,12409,Madejski Stadium,Jeremy Simpson,Match Report,
9,Sat,2018-09-22,17:30 (22:00),QPR,0–1,Norwich City,12843,Loftus Road Stadium,Darren Bond,Match Report,
,,,,,,,,,,,
10,Fri,2018-09-28,19:45 (00:15),Sheffield Weds,1–1,Leeds United,26717,Hillsborough Stadium,Robert Jones,Match Report,
10,Fri,2018-09-28,20:00 (00:30),Bristol City,1–1,Aston Villa,24224,Ashton Gate Stadium,Tim Robinson,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Norwich City,1–0,Wigan Athletic,25034,Carrow Road,Gavin Ward,Match Report,
10,Sat,2018-09-29,15:00 (19:30),Millwall,2–3,Sheffield Utd,13145,The Den,Andrew Davies,Match Report,
