Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
18,Sat,2018-11-24,15:00 (20:30),Stoke City,2–2,QPR,24291,Bet365 Stadium,Andrew Davies,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Swansea City,1–4,Norwich City,18780,Liberty Stadium,Darren Bond,Match Report,
18,Sat,2018-11-24,15:00 (20:30),Hull City,0–2,Nott'ham Forest,3364,Kingston Communications Stadium,Graham Scott,Match Report,
18,Sat,2018-11-24,17:30 (23:00),Brentford,1–2,Middlesbrough,9430,Griffin Park,John Brooks,Match Report,
18,Sun,2018-11-25,12:00 (17:30),Aston Villa,4–2,Birmingham City,41200,Villa Park,Robert Jones,Match Report,
,,,,,,,,,,,
19,Tue,2018-11-27,19:45 (01:15),Preston,1–1,Middlesbrough,10990,Deepdale Stadium,Peter Bankes,Match Report,
19,Tue,2018-11-27,19:45 (01:15),Sheffield Weds,1–0,Bolton,20861,Hillsborough Stadium,Gavin Ward,Match Report,
19,Tue,2018-11-27,19:45 (01:15),Brentford,2–3,Sheffield Utd,8903,Griffin Park,Steve Martin,Match Report,
19,Tue,2018-11-27,19:45 (01:15),Leeds United,1–0,Reading,27806,Elland Road,Mike Dean,Match Report,
19,Tue,2018-11-27,19:45 (01:15),Rotherham Utd,2–2,QPR,8018,New York Stadium,Andy Woolmer,Match Report,
19,Tue,2018-11-27,19:45 (01:15),Hull City,0–0,Norwich City,11420,Kingston Communications Stadium,Geoff Eltringham,Match Report,
19,Wed,2018-11-28,19:45 (01:15),Ipswich Town,2–3,Bristol City,13726,Portman Road Stadium,David Webb,Match Report,
19,Wed,2018-11-28,19:45 (01:15),Aston Villa,5–5,Nott'ham Forest,32868,Villa Park,Simon Hooper,Match Report,
19,Wed,2018-11-28,19:45 (01:15),Swansea City,1–2,West Brom,17865,Liberty Stadium,James Linington,Match Report,
19,Wed,2018-11-28,19:45 (01:15),Millwall,0–2,Birmingham City,11644,The Den,Scott Duncan,Match Report,
19,Wed,2018-11-28,19:45 (01:15),Wigan Athletic,3–1,Blackburn,10777,The DW Stadium,Keith Stroud,Match Report,
19,Wed,2018-11-28,20:00 (01:30),Stoke City,2–1,Derby County,25147,Bet365 Stadium,Darren England,Match Report,
,,,,,,,,,,,
20,Sat,2018-12-01,12:30 (18:00),Sheffield Utd,0–1,Leeds United,25794,Bramall Lane,Oliver Langford,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Nott'ham Forest,2–0,Ipswich Town,27873,The City Ground,James Linington,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Norwich City,3–1,Rotherham Utd,25858,Carrow Road,Steve Martin,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Birmingham City,3–0,Preston,20523,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Derby County,2–1,Swansea City,26167,iPro Stadium,Andy Madley,Match Report,
20,Sat,2018-12-01,15:00 (20:30),QPR,2–3,Hull City,13824,Loftus Road Stadium,Jeremy Simpson,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Blackburn,4–2,Sheffield Weds,15154,Ewood Park,Robert Jones,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Reading,2–2,Stoke City,14414,Madejski Stadium,David Coote,Match Report,
20,Sat,2018-12-01,15:00 (20:30),Bolton,1–1,Wigan Athletic,15237,Macron Stadium,Simon Hooper,Match Report,
20,Sat,2018-12-01,17:30 (23:00),Middlesbrough,0–3,Aston Villa,23424,Riverside Stadium,Andrew Davies,Match Report,
20,Sun,2018-12-02,13:30 (19:00),Bristol City,1–1,Millwall,18814,Ashton Gate Stadium,Darren England,Match Report,
20,Mon,2018-12-03,20:00 (01:30),West Brom,1–1,Brentford,20949,The Hawthorns,Darren Bond,Match Report,
,,,,,,,,,,,
21,Fri,2018-12-07,20:00 (01:30),West Brom,2–2,Aston Villa,26513,The Hawthorns,Darren England,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Birmingham City,0–1,Bristol City,20961,St Andrew's Trillion Trophy Stadium,John Brooks,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Stoke City,2–0,Ipswich Town,24694,Bet365 Stadium,Geoff Eltringham,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Middlesbrough,1–1,Blackburn,21985,Riverside Stadium,Simon Hooper,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Norwich City,3–2,Bolton,25811,Carrow Road,Scott Duncan,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Nott'ham Forest,0–1,Preston,27777,The City Ground,Steve Martin,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Millwall,2–2,Hull City,12004,The Den,Keith Stroud,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Leeds United,2–1,QPR,33781,Elland Road,Peter Bankes,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Sheffield Weds,2–2,Rotherham Utd,24725,Hillsborough Stadium,Darren Bond,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Brentford,2–3,Swansea City,9442,Griffin Park,Andy Woolmer,Match Report,
21,Sat,2018-12-08,15:00 (20:30),Wigan Athletic,0–1,Derby County,10768,The DW Stadium,Gavin Ward,Match Report,
21,Sat,2018-12-08,17:30 (23:00),Reading,0–2,Sheffield Utd,12066,Madejski Stadium,James Linington,Match Report,
,,,,,,,,,,,
22,Fri,2018-12-14,19:45 (01:15),Sheffield Utd,1–2,West Brom,23400,Bramall Lane,Jeremy Simpson,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Ipswich Town,1–0,Wigan Athletic,14640,Portman Road Stadium,Scott Duncan,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Aston Villa,2–2,Stoke City,36999,Villa Park,Peter Bankes,Match Report,
22,Sat,2018-12-15,15:00 (20:30),QPR,2–1,Middlesbrough,14088,Loftus Road Stadium,Oliver Langford,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Preston,3–2,Millwall,10924,Deepdale Stadium,John Brooks,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Hull City,2–0,Brentford,10530,Kingston Communications Stadium,Andrew Davies,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Blackburn,2–2,Birmingham City,13622,Ewood Park,Tony Harrington,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Swansea City,2–1,Sheffield Weds,18692,Liberty Stadium,David Webb,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Bolton,0–1,Leeds United,17484,Macron Stadium,Robert Jones,Match Report,
22,Sat,2018-12-15,15:00 (20:30),Rotherham Utd,1–1,Reading,8775,New York Stadium,Ross Joyce,Match Report,
22,Sat,2018-12-15,17:30 (23:00),Bristol City,2–2,Norwich City,19851,Ashton Gate Stadium,Roger East,Match Report,
22,Mon,2018-12-17,19:45 (01:15),Derby County,0–0,Nott'ham Forest,31160,iPro Stadium,Keith Stroud,Match Report,
,,,,,,,,,,,
23,Sat,2018-12-22,15:00 (20:30),Brentford,1–0,Bolton,10512,Griffin Park,James Linington,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Sheffield Weds,1–0,Preston,22366,Hillsborough Stadium,David Coote,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Reading,0–1,Middlesbrough,14943,Madejski Stadium,Steve Martin,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Rotherham Utd,0–4,West Brom,10593,New York Stadium,Tony Harrington,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Derby County,1–1,Bristol City,26719,iPro Stadium,Darren Bond,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Wigan Athletic,0–3,Birmingham City,13774,The DW Stadium,Ross Joyce,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Blackburn,0–1,Norwich City,14202,Ewood Park,Darren England,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Stoke City,1–0,Millwall,25351,Bet365 Stadium,Chris Kavanagh,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Ipswich Town,1–1,Sheffield Utd,17942,Portman Road Stadium,Andy Woolmer,Match Report,
23,Sat,2018-12-22,15:00 (20:30),Nott'ham Forest,0–1,QPR,28177,The City Ground,Gavin Ward,Match Report,
23,Sat,2018-12-22,17:30 (23:00),Hull City,3–2,Swansea City,10848,Kingston Communications Stadium,Oliver Langford,Match Report,
23,Sun,2018-12-23,13:30 (19:00),Aston Villa,2–3,Leeds United,41411,Villa Park,Andy Madley,Match Report,
,,,,,,,,,,,
24,Wed,2018-12-26,15:00 (20:30),Millwall,1–0,Reading,12202,The Den,Andrew Davies,Match Report,
24,Wed,2018-12-26,15:00 (20:30),QPR,3–0,Ipswich Town,14584,Loftus Road Stadium,Keith Stroud,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Preston,1–2,Hull City,14026,Deepdale Stadium,Scott Duncan,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Swansea City,0–1,Aston Villa,20775,Liberty Stadium,Roger East,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Birmingham City,2–0,Stoke City,26344,St Andrew's Trillion Trophy Stadium,Darren Bond,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Middlesbrough,0–1,Sheffield Weds,30341,Riverside Stadium,Peter Bankes,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Sheffield Utd,3–1,Derby County,28974,Bramall Lane,Geoff Eltringham,Match Report,
24,Wed,2018-12-26,15:00 (20:30),West Brom,2–0,Wigan Athletic,25555,The Hawthorns,Robert Jones,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Bolton,2–1,Rotherham Utd,15255,Macron Stadium,Jeremy Simpson,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Bristol City,1–1,Brentford,21207,Ashton Gate Stadium,David Webb,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Leeds United,3–2,Blackburn,34863,Elland Road,Steve Martin,Match Report,
24,Wed,2018-12-26,15:00 (20:30),Norwich City,3–3,Nott'ham Forest,26933,Carrow Road,John Brooks,Match Report,
,,,,,,,,,,,
25,Sat,2018-12-29,15:00 (20:30),Millwall,1–0,Nott'ham Forest,15273,The Den,Tony Harrington,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Middlesbrough,2–0,Ipswich Town,23334,Riverside Stadium,Jeremy Simpson,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Bristol City,1–0,Rotherham Utd,21207,Ashton Gate Stadium,Scott Duncan,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Leeds United,0–2,Hull City,35754,Elland Road,John Brooks,Match Report,
25,Sat,2018-12-29,15:00 (20:30),QPR,0–0,Reading,15721,Loftus Road Stadium,Robert Jones,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Birmingham City,0–0,Brentford,23909,St Andrew's Trillion Trophy Stadium,Peter Bankes,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Norwich City,3–4,Derby County,26866,Carrow Road,David Webb,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Preston,1–1,Aston Villa,19126,Deepdale Stadium,Geoff Eltringham,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Swansea City,2–2,Wigan Athletic,18591,Liberty Stadium,James Linington,Match Report,
25,Sat,2018-12-29,15:00 (20:30),West Brom,1–1,Sheffield Weds,26548,The Hawthorns,Andrew Davies,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Sheffield Utd,3–0,Blackburn,27384,Bramall Lane,Anthony Taylor,Match Report,
25,Sat,2018-12-29,15:00 (20:30),Bolton,0–0,Stoke City,15309,Macron Stadium,Keith Stroud,Match Report,
,,,,,,,,,,,
26,Tue,2019-01-01,15:00 (20:30),Blackburn,2–1,West Brom,14258,Ewood Park,Oliver Langford,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Aston Villa,2–2,QPR,37760,Villa Park,James Linington,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Derby County,1–1,Middlesbrough,28123,iPro Stadium,Robert Jones,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Reading,1–4,Swansea City,15644,Madejski Stadium,Tim Robinson,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Rotherham Utd,2–1,Preston,9077,New York Stadium,Lee Probert,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Ipswich Town,2–3,Millwall,16957,Portman Road Stadium,Steve Martin,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Brentford,1–1,Norwich City,9524,Griffin Park,Gavin Ward,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Hull City,6–0,Bolton,12418,Kingston Communications Stadium,Tony Harrington,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Stoke City,0–2,Bristol City,23912,Bet365 Stadium,Paul Tierney,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Wigan Athletic,0–3,Sheffield Utd,13054,The DW Stadium,Andy Madley,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Nott'ham Forest,4–2,Leeds United,29530,The City Ground,Darren England,Match Report,
26,Tue,2019-01-01,15:00 (20:30),Sheffield Weds,1–1,Birmingham City,29462,Hillsborough Stadium,Andy Woolmer,Match Report,
,,,,,,,,,,,
27,Fri,2019-01-11,19:45 (01:15),Leeds United,2–0,Derby County,34668,Elland Road,Andrew Davies,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Wigan Athletic,3–0,Aston Villa,13882,The DW Stadium,Tony Harrington,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Birmingham City,1–2,Middlesbrough,21420,St Andrew's Trillion Trophy Stadium,Graham Scott,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Preston,1–1,Swansea City,11604,Deepdale Stadium,Keith Stroud,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Bristol City,2–1,Bolton,19730,Ashton Gate Stadium,Steve Martin,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Sheffield Utd,1–0,QPR,25501,Bramall Lane,Andy Woolmer,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Reading,2–0,Nott'ham Forest,15034,Madejski Stadium,Oliver Langford,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Brentford,3–1,Stoke City,9439,Griffin Park,Tim Robinson,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Ipswich Town,1–0,Rotherham Utd,20893,Portman Road Stadium,James Linington,Match Report,
27,Sat,2019-01-12,15:00 (20:30),Hull City,3–0,Sheffield Weds,14102,Kingston Communications Stadium,Geoff Eltringham,Match Report,
27,Sat,2019-01-12,15:00 (20:30),West Brom,1–1,Norwich City,26544,The Hawthorns,Darren England,Match Report,
27,Sat,2019-01-12,17:30 (23:00),Millwall,0–2,Blackburn,13862,The Den,Robert Jones,Match Report,
,,,,,,,,,,,
28,Fri,2019-01-18,19:45 (01:15),Norwich City,3–1,Birmingham City,25932,Carrow Road,Tim Robinson,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Stoke City,2–1,Leeds United,28586,Bet365 Stadium,Gavin Ward,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Blackburn,2–0,Ipswich Town,12762,Ewood Park,Darren England,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Sheffield Weds,1–0,Wigan Athletic,22323,Hillsborough Stadium,Peter Bankes,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Nott'ham Forest,0–1,Bristol City,28922,The City Ground,Jeremy Simpson,Match Report,
28,Sat,2019-01-19,15:00 (20:30),QPR,1–4,Preston,13736,Loftus Road Stadium,Andy Madley,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Rotherham Utd,2–4,Brentford,8319,New York Stadium,Tony Harrington,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Derby County,2–1,Reading,26404,iPro Stadium,Andy Woolmer,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Aston Villa,2–2,Hull City,33619,Villa Park,Darren Bond,Match Report,
28,Sat,2019-01-19,15:00 (20:30),Middlesbrough,1–1,Millwall,21915,Riverside Stadium,Keith Stroud,Match Report,
28,Sat,2019-01-19,17:30 (23:00),Swansea City,1–0,Sheffield Utd,18673,Liberty Stadium,John Brooks,Match Report,
28,Mon,2019-01-21,20:00 (01:30),Bolton,0–2,West Brom,14750,Macron Stadium,David Webb,Match Report,
,,,,,,,,,,,
29,Sat,2019-01-26,15:00 (20:30),Stoke City,0–2,Preston,25053,Bet365 Stadium,Oliver Langford,Match Report,
29,Sat,2019-01-26,15:00 (20:30),Aston Villa,2–1,Ipswich Town,33653,Villa Park,Keith Stroud,Match Report,
29,Sat,2019-01-26,15:00 (20:30),Blackburn,3–0,Hull City,13589,Ewood Park,Jeremy Simpson,Match Report,
29,Sat,2019-01-26,15:00 (20:30),Rotherham Utd,1–2,Leeds United,11259,New York Stadium,Tim Robinson,Match Report,
29,Sat,2019-01-26,15:00 (20:30),Norwich City,2–2,Sheffield Utd,26844,Carrow Road,James Linington,Match Report,
29,Sat,2019-01-26,15:00 (20:30),Nott'ham Forest,3–1,Wigan Athletic,28848,The City Ground,Alan Davies,Match Report,
29,Tue,2019-01-29,19:45 (01:15),Swansea City,3–3,Birmingham City,18194,Liberty Stadium,Steve Martin,Match Report,
29,Tue,2019-01-29,20:00 (01:30),Bolton,1–1,Reading,12195,Macron Stadium,Scott Duncan,Match Report,
,,,,,,,,,,,
30,Fri,2019-02-01,19:45 (01:15),Preston,0–0,Derby County,12124,Deepdale Stadium,Darren Bond,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Hull City,2–0,Stoke City,12776,Kingston Communications Stadium,Peter Bankes,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Birmingham City,2–0,Nott'ham Forest,24235,St Andrew's Trillion Trophy Stadium,David Webb,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Millwall,0–0,Rotherham Utd,12084,The Den,Andy Madley,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Reading,0–0,Aston Villa,17458,Madejski Stadium,Geoff Eltringham,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Bristol City,2–0,Swansea City,23560,Ashton Gate Stadium,Andy Woolmer,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Sheffield Utd,2–0,Bolton,26131,Bramall Lane,Keith Stroud,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Brentford,5–2,Blackburn,9972,Griffin Park,Andrew Davies,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Wigan Athletic,2–1,QPR,9799,The DW Stadium,Scott Duncan,Match Report,
30,Sat,2019-02-02,15:00 (20:30),Ipswich Town,0–1,Sheffield Weds,16888,Portman Road Stadium,Oliver Langford,Match Report,
30,Sat,2019-02-02,15:00 (20:30),West Brom,2–3,Middlesbrough,24863,The Hawthorns,Tim Robinson,Match Report,
30,Sat,2019-02-02,17:30 (23:00),Leeds United,1–3,Norwich City,36524,Elland Road,Stuart Attwell,Match Report,
,,,,,,,,,,,
31,Fri,2019-02-08,19:45 (01:15),Aston Villa,3–3,Sheffield Utd,34892,Villa Park,Tony Harrington,Match Report,
31,Sat,2019-02-09,13:00 (18:30),Middlesbrough,1–1,Leeds United,30881,Riverside Stadium,Darren England,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Sheffield Weds,0–0,Reading,23412,Hillsborough Stadium,John Brooks,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Swansea City,1–0,Millwall,18650,Liberty Stadium,Kevin Friend,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Blackburn,0–1,Bristol City,13593,Ewood Park,James Linington,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Derby County,2–0,Hull City,28211,iPro Stadium,Gavin Ward,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Bolton,1–2,Preston,17381,Macron Stadium,Andy Madley,Match Report,
31,Sat,2019-02-09,15:00 (20:30),QPR,3–4,Birmingham City,14234,Loftus Road Stadium,Darren Bond,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Rotherham Utd,1–1,Wigan Athletic,9611,New York Stadium,Oliver Langford,Match Report,
31,Sat,2019-02-09,15:00 (20:30),Nott'ham Forest,2–1,Brentford,27829,The City Ground,Robert Jones,Match Report,
31,Sat,2019-02-09,17:30 (23:00),Stoke City,0–1,West Brom,26828,Bet365 Stadium,Jeremy Simpson,Match Report,
31,Sun,2019-02-10,12:00 (17:30),Norwich City,3–0,Ipswich Town,27040,Carrow Road,Peter Bankes,Match Report,
,,,,,,,,,,,
32,Tue,2019-02-12,19:45 (01:15),Birmingham City,0–1,Bolton,21682,St Andrew's Trillion Trophy Stadium,Andrew Davies,Match Report,
32,Tue,2019-02-12,19:45 (01:15),Hull City,2–2,Rotherham Utd,10785,Kingston Communications Stadium,Scott Duncan,Match Report,
32,Tue,2019-02-12,19:45 (01:15),Bristol City,2–1,QPR,19183,Ashton Gate Stadium,Tony Harrington,Match Report,
32,Tue,2019-02-12,19:45 (01:15),Millwall,0–0,Sheffield Weds,11828,The Den,Tim Robinson,Match Report,
32,Tue,2019-02-12,20:00 (01:30),West Brom,2–2,Nott'ham Forest,22691,The Hawthorns,Lee Mason,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Leeds United,2–1,Swansea City,34044,Elland Road,David Webb,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Wigan Athletic,0–0,Stoke City,9914,The DW Stadium,Keith Stroud,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Brentford,1–0,Aston Villa,9636,Griffin Park,Gavin Ward,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Preston,3–1,Norwich City,11280,Deepdale Stadium,Geoff Eltringham,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Sheffield Utd,1–0,Middlesbrough,24805,Bramall Lane,Andy Woolmer,Match Report,
32,Wed,2019-02-13,19:45 (01:15),Ipswich Town,1–1,Derby County,18604,Portman Road Stadium,Andy Madley,Match Report,
32,Wed,2019-02-13,20:00 (01:30),Reading,2–1,Blackburn,11271,Madejski Stadium,Steve Martin,Match Report,
,,,,,,,,,,,
33,Sat,2019-02-16,13:00 (18:30),Rotherham Utd,2–2,Sheffield Weds,11736,New York Stadium,Darren England,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Preston,0–0,Nott'ham Forest,13904,Deepdale Stadium,Tim Robinson,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Aston Villa,0–2,West Brom,39263,Villa Park,James Linington,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Sheffield Utd,4–0,Reading,26513,Bramall Lane,Robert Jones,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Ipswich Town,1–1,Stoke City,15924,Portman Road Stadium,Scott Duncan,Match Report,
33,Sat,2019-02-16,15:00 (20:30),Bolton,0–4,Norwich City,14006,Macron Stadium,Andy Woolmer,Match Report,
33,Sun,2019-02-17,13:00 (18:30),Blackburn,0–1,Middlesbrough,13249,Ewood Park,Darren Bond,Match Report,
,,,,,,,,,,,
29,Tue,2019-02-19,19:45 (01:15),QPR,2–3,West Brom,12257,Loftus Road Stadium,John Brooks,Match Report,
29,Wed,2019-02-20,19:45 (01:15),Derby County,0–1,Millwall,24907,iPro Stadium,James Linington,Match Report,
,,,,,,,,,,,
34,Sat,2019-02-23,15:00 (20:30),Sheffield Weds,3–1,Swansea City,22935,Hillsborough Stadium,Geoff Eltringham,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Leeds United,2–1,Bolton,34144,Elland Road,Tony Harrington,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Brentford,5–1,Hull City,9675,Griffin Park,Tim Robinson,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Wigan Athletic,1–1,Ipswich Town,10835,The DW Stadium,Lee Probert,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Birmingham City,2–2,Blackburn,21869,St Andrew's Trillion Trophy Stadium,Peter Bankes,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Norwich City,3–2,Bristol City,26338,Carrow Road,Gavin Ward,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Middlesbrough,2–0,QPR,22338,Riverside Stadium,Andy Madley,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Millwall,1–3,Preston,13265,The Den,Steve Martin,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Reading,1–1,Rotherham Utd,15958,Madejski Stadium,Jeremy Simpson,Match Report,
34,Sat,2019-02-23,15:00 (20:30),Stoke City,1–1,Aston Villa,27975,Bet365 Stadium,David Webb,Match Report,
34,Sat,2019-02-23,17:30 (23:00),West Brom,0–1,Sheffield Utd,24928,The Hawthorns,Oliver Langford,Match Report,
34,Mon,2019-02-25,19:45 (01:15),Nott'ham Forest,1–0,Derby County,29421,The City Ground,Robert Jones,Match Report,
,,,,,,,,,,,
29,Tue,2019-02-26,19:45 (01:15),Sheffield Weds,2–0,Brentford,23094,Hillsborough Stadium,Scott Duncan,Match Report,
,,,,,,,,,,,
33,Tue,2019-02-26,19:45 (01:15),Bristol City,1–2,Birmingham City,19777,Ashton Gate Stadium,Geoff Eltringham,Match Report,
33,Tue,2019-02-26,19:45 (01:15),QPR,1–0,Leeds United,14763,Loftus Road Stadium,Andrew Davies,Match Report,
33,Tue,2019-02-26,19:45 (01:15),Hull City,2–1,Millwall,10191,Kingston Communications Stadium,Darren Bond,Match Report,
,,,,,,,,,,,
35,Fri,2019-03-01,19:45 (01:15),Leeds United,4–0,West Brom,35888,Elland Road,Tim Robinson,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Swansea City,2–0,Bolton,17880,Liberty Stadium,Gavin Ward,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Rotherham Utd,3–2,Blackburn,9663,New York Stadium,John Brooks,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Hull City,2–0,Birmingham City,12551,Kingston Communications Stadium,Tony Harrington,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Millwall,1–3,Norwich City,16748,The Den,David Webb,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Preston,1–1,Bristol City,12863,Deepdale Stadium,Jeremy Simpson,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Stoke City,2–0,Nott'ham Forest,26736,Bet365 Stadium,Roger East,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Brentford,3–0,QPR,11771,Griffin Park,Keith Stroud,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Ipswich Town,1–2,Reading,23009,Portman Road Stadium,Geoff Eltringham,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Aston Villa,4–0,Derby County,37273,Villa Park,Lee Mason,Match Report,
35,Sat,2019-03-02,15:00 (20:30),Wigan Athletic,0–0,Middlesbrough,12726,The DW Stadium,Steve Martin,Match Report,
35,Mon,2019-03-04,19:45 (01:15),Sheffield Weds,0–0,Sheffield Utd,31630,Hillsborough Stadium,Peter Bankes,Match Report,
,,,,,,,,,,,
33,Tue,2019-03-05,19:45 (01:15),Derby County,2–1,Wigan Athletic,23655,iPro Stadium,Néstor Pitana,Match Report,
,,,,,,,,,,,
36,Fri,2019-03-08,19:45 (01:15),Norwich City,1–0,Swansea City,26360,Carrow Road,Robert Jones,Match Report,
36,Sat,2019-03-09,12:00 (17:30),Blackburn,0–1,Preston,21577,Ewood Park,Oliver Langford,Match Report,
36,Sat,2019-03-09,12:15 (17:45),Sheffield Utd,2–0,Rotherham Utd,27402,Bramall Lane,Geoff Eltringham,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Middlesbrough,1–2,Brentford,22069,Riverside Stadium,Jeremy Simpson,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Reading,3–2,Wigan Athletic,15401,Madejski Stadium,Andrew Davies,Match Report,
36,Sat,2019-03-09,15:00 (20:30),Bristol City,0–1,Leeds United,24832,Ashton Gate Stadium,Peter Bankes,Match Report,
