Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Luton Town,0–3,Hull City,10066,Kenilworth Road Stadium,Andy Madley,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Nott'ham Forest,1–0,Barnsley,29202,The City Ground,Jarred Gillett,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Wigan Athletic,2–0,Charlton Ath,9567,The DW Stadium,Andrew Davies,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Reading,1–2,Blackburn,16906,Madejski Stadium,Matt Donohue,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Bristol City,0–0,Swansea City,22885,Ashton Gate Stadium,Tony Harrington,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Birmingham City,0–1,Preston,20806,St Andrew's Trillion Trophy Stadium,Steve Martin,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Cardiff City,1–0,Middlesbrough,23141,Cardiff City Stadium,Darren Bond,Match Report,
Regular Season,8,Sun,22-09-2019,12:00 (16:30),West Brom,4–2,Huddersfield,23577,The Hawthorns,Tim Robinson,Match Report,
,,,,,,,,,,,,
Regular Season,9,Fri,27-09-2019,19:45 (00:15),Fulham,2–0,Wigan Athletic,18253,Craven Cottage,Dean Whitestone,Match Report,
Regular Season,9,Fri,27-09-2019,20:00 (00:30),Stoke City,2–3,Nott'ham Forest,23800,Bet365 Stadium,Andy Madley,Match Report,
Regular Season,9,Sat,28-09-2019,12:30 (17:00),QPR,0–2,West Brom,13959,Loftus Road Stadium,Geoff Eltringham,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Huddersfield,1–1,Millwall,20781,The John Smith's Stadium,Jeremy Simpson,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Middlesbrough,1–4,Sheffield Weds,22075,Riverside Stadium,James Linington,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Blackburn,1–2,Luton Town,15319,Ewood Park,Gavin Ward,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Charlton Ath,1–0,Leeds United,21808,The Valley,John Brooks,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Preston,3–3,Bristol City,12005,Deepdale Stadium,Andrew Davies,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Swansea City,1–1,Reading,16036,Liberty Stadium,Keith Stroud,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Hull City,2–2,Cardiff City,10756,Kingston Communications Stadium,Jarred Gillett,Match Report,
Regular Season,9,Sat,28-09-2019,15:00 (19:30),Derby County,3–2,Birmingham City,28454,iPro Stadium,Simon Hooper,Match Report,
Regular Season,9,Sun,29-09-2019,13:30 (18:00),Barnsley,1–3,Brentford,12188,Oakwell Stadium,David Webb,Match Report,
,,,,,,,,,,,,
Regular Season,10,Tue,01-10-2019,19:45 (00:15),Middlesbrough,1–1,Preston,17961,Riverside Stadium,Darren England,Match Report,
Regular Season,10,Tue,01-10-2019,19:45 (00:15),Blackburn,1–1,Nott'ham Forest,12521,Ewood Park,Steve Martin,Match Report,
Regular Season,10,Tue,01-10-2019,19:45 (00:15),Wigan Athletic,1–0,Birmingham City,9244,The DW Stadium,Tim Robinson,Match Report,
Regular Season,10,Tue,01-10-2019,19:45 (00:15),Leeds United,1–0,West Brom,34648,Elland Road,David Coote,Match Report,
Regular Season,10,Tue,01-10-2019,19:45 (00:15),Hull City,1–0,Sheffield Weds,11590,Kingston Communications Stadium,Andrew Davies,Match Report,
Regular Season,10,Tue,01-10-2019,20:00 (00:30),Reading,1–4,Fulham,13809,Madejski Stadium,Andy Woolmer,Match Report,
Regular Season,10,Tue,01-10-2019,20:00 (00:30),Stoke City,0–1,Huddersfield,20372,Bet365 Stadium,Robert Jones,Match Report,
Regular Season,10,Wed,02-10-2019,19:45 (00:15),Brentford,1–1,Bristol City,11433,Griffin Park,Oliver Langford,Match Report,
Regular Season,10,Wed,02-10-2019,19:45 (00:15),Cardiff City,3–0,QPR,21387,Cardiff City Stadium,Matt Donohue,Match Report,
Regular Season,10,Wed,02-10-2019,19:45 (00:15),Charlton Ath,1–2,Swansea City,15741,The Valley,Peter Bankes,Match Report,
Regular Season,10,Wed,02-10-2019,19:45 (00:15),Barnsley,2–2,Derby County,13634,Oakwell Stadium,Tony Harrington,Match Report,
Regular Season,10,Wed,02-10-2019,19:45 (00:15),Luton Town,1–1,Millwall,10049,Kenilworth Road Stadium,Darren Bond,Match Report,
,,,,,,,,,,,,
Regular Season,11,Fri,04-10-2019,19:45 (00:15),Birmingham City,2–1,Middlesbrough,19703,St Andrew's Trillion Trophy Stadium,Jeremy Simpson,Match Report,
Regular Season,11,Sat,05-10-2019,12:30 (17:00),Fulham,2–2,Charlton Ath,18654,Craven Cottage,Keith Stroud,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),QPR,4–2,Blackburn,13560,Loftus Road Stadium,Simon Hooper,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Bristol City,1–0,Reading,21419,Ashton Gate Stadium,Steve Martin,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),West Brom,4–2,Cardiff City,25140,The Hawthorns,John Brooks,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Preston,5–1,Barnsley,12431,Deepdale Stadium,Gavin Ward,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Derby County,2–0,Luton Town,27944,iPro Stadium,Geoff Eltringham,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Huddersfield,3–0,Hull City,21702,The John Smith's Stadium,David Webb,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Sheffield Weds,1–0,Wigan Athletic,22753,Hillsborough Stadium,Lee Mason,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Millwall,2–1,Leeds United,16311,The Den,James Linington,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Nott'ham Forest,1–0,Brentford,27598,The City Ground,Dean Whitestone,Match Report,
Regular Season,11,Sat,05-10-2019,15:00 (19:30),Swansea City,1–2,Stoke City,16612,Liberty Stadium,Oliver Langford,Match Report,
,,,,,,,,,,,,
Regular Season,12,Fri,18-10-2019,19:45 (00:15),Cardiff City,1–1,Sheffield Weds,22486,Cardiff City Stadium,Keith Stroud,Match Report,
Regular Season,12,Sat,19-10-2019,12:30 (17:00),Blackburn,2–2,Huddersfield,13761,Ewood Park,Darren Bond,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Hull City,2–3,QPR,10285,Kingston Communications Stadium,Tony Harrington,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Reading,1–0,Preston,14135,Madejski Stadium,Dean Whitestone,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Stoke City,2–0,Fulham,23189,Bet365 Stadium,Andrew Davies,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Brentford,3–2,Millwall,10886,Griffin Park,Stuart Attwell,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Charlton Ath,3–0,Derby County,19408,The Valley,Steve Martin,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Leeds United,1–0,Birmingham City,35731,Elland Road,Robert Jones,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Luton Town,3–0,Bristol City,10064,Kenilworth Road Stadium,Graham Scott,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Barnsley,1–1,Swansea City,12424,Oakwell Stadium,Andy Woolmer,Match Report,
Regular Season,12,Sat,19-10-2019,15:00 (19:30),Middlesbrough,0–1,West Brom,20174,Riverside Stadium,Oliver Langford,Match Report,
Regular Season,12,Sun,20-10-2019,14:00 (18:30),Wigan Athletic,1–0,Nott'ham Forest,13077,The DW Stadium,Matt Donohue,Match Report,
,,,,,,,,,,,,
Regular Season,13,Tue,22-10-2019,19:45 (00:15),Preston,1–1,Leeds United,18275,Deepdale Stadium,Kevin Friend,Match Report,
Regular Season,13,Tue,22-10-2019,19:45 (00:15),Birmingham City,1–0,Blackburn,18561,St Andrew's Trillion Trophy Stadium,Darren England,Match Report,
Regular Season,13,Tue,22-10-2019,19:45 (00:15),QPR,2–2,Reading,12330,Loftus Road Stadium,Jeremy Simpson,Match Report,
Regular Season,13,Tue,22-10-2019,19:45 (00:15),Millwall,2–2,Cardiff City,11769,The Den,Tim Robinson,Match Report,
Regular Season,13,Tue,22-10-2019,19:45 (00:15),Sheffield Weds,1–0,Stoke City,22460,Hillsborough Stadium,Andy Madley,Match Report,
Regular Season,13,Tue,22-10-2019,19:45 (00:15),Swansea City,0–3,Brentford,15875,Liberty Stadium,Gavin Ward,Match Report,
Regular Season,13,Tue,22-10-2019,20:00 (00:30),West Brom,2–2,Barnsley,22086,The Hawthorns,Darren Bond,Match Report,
Regular Season,13,Wed,23-10-2019,19:45 (00:15),Bristol City,2–1,Charlton Ath,20916,Ashton Gate Stadium,James Linington,Match Report,
Regular Season,13,Wed,23-10-2019,19:45 (00:15),Huddersfield,0–0,Middlesbrough,22839,The John Smith's Stadium,Tony Harrington,Match Report,
Regular Season,13,Wed,23-10-2019,19:45 (00:15),Nott'ham Forest,1–2,Hull City,27624,The City Ground,Oliver Langford,Match Report,
Regular Season,13,Wed,23-10-2019,19:45 (00:15),Derby County,1–0,Wigan Athletic,24697,iPro Stadium,Keith Stroud,Match Report,
Regular Season,13,Wed,23-10-2019,19:45 (00:15),Fulham,3–2,Luton Town,18082,Craven Cottage,John Brooks,Match Report,
,,,,,,,,,,,,
Regular Season,14,Sat,26-10-2019,12:30 (17:00),Sheffield Weds,0–0,Leeds United,27516,Hillsborough Stadium,Tim Robinson,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),Hull City,2–0,Derby County,16326,Kingston Communications Stadium,Simon Hooper,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),Millwall,2–0,Stoke City,14008,The Den,Darren England,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),Birmingham City,2–1,Luton Town,21799,St Andrew's Trillion Trophy Stadium,Dean Whitestone,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),Preston,3–2,Blackburn,19165,Deepdale Stadium,Steve Martin,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),Huddersfield,2–1,Barnsley,22718,The John Smith's Stadium,James Linington,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),West Brom,2–2,Charlton Ath,25356,The Hawthorns,Matt Donohue,Match Report,
Regular Season,14,Sat,26-10-2019,15:00 (19:30),Middlesbrough,0–0,Fulham,19101,Riverside Stadium,Peter Bankes,Match Report,
Regular Season,14,Sun,27-10-2019,12:00 (17:30),Swansea City,1–0,Cardiff City,20270,Liberty Stadium,Robert Jones,Match Report,
Regular Season,14,Sun,27-10-2019,13:30 (19:00),Bristol City,2–2,Wigan Athletic,22246,Ashton Gate Stadium,John Brooks,Match Report,
Regular Season,14,Mon,28-10-2019,19:45 (01:15),QPR,1–3,Brentford,15562,Loftus Road Stadium,Andy Woolmer,Match Report,
,,,,,,,,,,,,
Regular Season,15,Fri,01-11-2019,19:45 (01:15),Barnsley,2–2,Bristol City,12178,Oakwell Stadium,Jarred Gillett,Match Report,
Regular Season,15,Sat,02-11-2019,12:30 (18:00),Wigan Athletic,1–2,Swansea City,9080,The DW Stadium,Peter Bankes,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Brentford,0–1,Huddersfield,11727,Griffin Park,Robert Jones,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Reading,2–1,Millwall,14485,Madejski Stadium,Tony Harrington,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Luton Town,1–2,Nott'ham Forest,10053,Kenilworth Road Stadium,Gavin Ward,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Derby County,2–0,Middlesbrough,26293,iPro Stadium,Darren Bond,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Leeds United,2–0,QPR,35284,Elland Road,Geoff Eltringham,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Blackburn,2–1,Sheffield Weds,14147,Ewood Park,Andy Woolmer,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Cardiff City,4–2,Birmingham City,23778,Cardiff City Stadium,Andy Madley,Match Report,
Regular Season,15,Sat,02-11-2019,15:00 (20:30),Fulham,0–3,Hull City,18168,Craven Cottage,Keith Stroud,Match Report,
Regular Season,15,Sun,03-11-2019,12:00 (17:30),Charlton Ath,0–1,Preston,16027,The Valley,David Webb,Match Report,
Regular Season,15,Mon,04-11-2019,20:00 (01:30),Stoke City,0–2,West Brom,22360,Bet365 Stadium,Tim Robinson,Match Report,
,,,,,,,,,,,,
Regular Season,16,Sat,09-11-2019,12:30 (18:00),Nott'ham Forest,1–0,Derby County,29314,The City Ground,Darren England,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Reading,3–0,Luton Town,15251,Madejski Stadium,Andy Woolmer,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Millwall,2–1,Charlton Ath,17109,The Den,Robert Jones,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Leeds United,2–1,Blackburn,35567,Elland Road,Gavin Ward,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Hull City,0–1,West Brom,13866,Kingston Communications Stadium,James Linington,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Sheffield Weds,2–2,Swansea City,23073,Hillsborough Stadium,David Webb,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Barnsley,2–4,Stoke City,14891,Oakwell Stadium,Jeremy Simpson,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Wigan Athletic,0–3,Brentford,9260,The DW Stadium,Andrew Davies,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Preston,3–1,Huddersfield,16038,Deepdale Stadium,Geoff Eltringham,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),QPR,2–2,Middlesbrough,14404,Loftus Road Stadium,David Coote,Match Report,
Regular Season,16,Sat,09-11-2019,15:00 (20:30),Birmingham City,0–1,Fulham,21334,St Andrew's Trillion Trophy Stadium,Jarred Gillett,Match Report,
Regular Season,16,Sun,10-11-2019,12:00 (17:30),Cardiff City,0–1,Bristol City,23846,Cardiff City Stadium,Tony Harrington,Match Report,
,,,,,,,,,,,,
Regular Season,17,Fri,22-11-2019,19:45 (01:15),Fulham,2–1,QPR,18320,Craven Cottage,James Linington,Match Report,
Regular Season,17,Sat,23-11-2019,12:30 (18:00),Charlton Ath,2–2,Cardiff City,16011,The Valley,Darren Bond,Match Report,
Regular Season,17,Sat,23-11-2019,15:00 (20:30),Luton Town,1–2,Leeds United,10068,Kenilworth Road Stadium,John Brooks,Match Report,
