Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,02-08-2019,19:45 (00:15),Luton Town,3–3,Middlesbrough,10053,Kenilworth Road Stadium,Oliver Langford,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Blackburn,1–2,Charlton Ath,14184,Ewood Park,Andy Woolmer,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Barnsley,1–0,Fulham,14823,Oakwell Stadium,Andrew Davies,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Millwall,1–0,Preston,14923,The Den,Steve Martin,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Reading,1–3,Sheffield Weds,16319,Madejski Stadium,James Linington,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Swansea City,2–1,Hull City,15741,Liberty Stadium,John Brooks,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Brentford,0–1,Birmingham City,11332,Griffin Park,Gavin Ward,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Stoke City,1–2,QPR,24004,Bet365 Stadium,Darren Bond,Match Report,
Regular Season,1,Sat,03-08-2019,15:00 (19:30),Wigan Athletic,3–2,Cardiff City,12169,The DW Stadium,David Webb,Match Report,
Regular Season,1,Sat,03-08-2019,17:30 (22:00),Nott'ham Forest,1–2,West Brom,27592,The City Ground,Darren England,Match Report,
Regular Season,1,Sun,04-08-2019,16:30 (21:00),Bristol City,1–3,Leeds United,23553,Ashton Gate Stadium,Tim Robinson,Match Report,
Regular Season,1,Mon,05-08-2019,19:45 (00:15),Huddersfield,1–2,Derby County,22596,The John Smith's Stadium,Geoff Eltringham,Match Report,
,,,,,,,,,,,,
Regular Season,2,Sat,10-08-2019,12:30 (17:00),Leeds United,1–1,Nott'ham Forest,35453,Elland Road,Robert Jones,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Fulham,2–0,Blackburn,17987,Craven Cottage,Keith Stroud,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),QPR,1–1,Huddersfield,14377,Loftus Road Stadium,Dean Whitestone,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Derby County,0–0,Swansea City,27337,iPro Stadium,Jarred Gillett,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Sheffield Weds,2–0,Barnsley,28028,Hillsborough Stadium,Tony Harrington,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Hull City,2–1,Reading,10673,Kingston Communications Stadium,Matt Donohue,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Middlesbrough,0–1,Brentford,21911,Riverside Stadium,Steve Martin,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),West Brom,1–1,Millwall,24305,The Hawthorns,David Webb,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Charlton Ath,3–1,Stoke City,17848,The Valley,Simon Hooper,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Cardiff City,2–1,Luton Town,24724,Cardiff City Stadium,Darren Bond,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Birmingham City,1–1,Bristol City,21808,St Andrew's Trillion Trophy Stadium,Oliver Langford,Match Report,
Regular Season,2,Sat,10-08-2019,15:00 (19:30),Preston,3–0,Wigan Athletic,14789,Deepdale Stadium,Jeremy Simpson,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,16-08-2019,19:45 (00:15),Huddersfield,1–2,Fulham,20775,The John Smith's Stadium,James Linington,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Bristol City,2–0,QPR,21654,Ashton Gate Stadium,Robert Jones,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Millwall,1–0,Sheffield Weds,15017,The Den,Gavin Ward,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Luton Town,1–2,West Brom,10059,Kenilworth Road Stadium,Andy Woolmer,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Nott'ham Forest,3–0,Birmingham City,27281,The City Ground,Tony Harrington,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Blackburn,1–0,Middlesbrough,14012,Ewood Park,Jarred Gillett,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Wigan Athletic,0–2,Leeds United,14819,The DW Stadium,Andy Madley,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Brentford,1–1,Hull City,11000,Griffin Park,Darren England,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Barnsley,2–2,Charlton Ath,13006,Oakwell Stadium,Matt Donohue,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Stoke City,2–2,Derby County,23863,Bet365 Stadium,Tim Robinson,Match Report,
Regular Season,3,Sat,17-08-2019,15:00 (19:30),Swansea City,3–2,Preston,15250,Liberty Stadium,Dean Whitestone,Match Report,
Regular Season,3,Sun,18-08-2019,12:00 (16:30),Reading,3–0,Cardiff City,14252,Madejski Stadium,Andrew Davies,Match Report,
,,,,,,,,,,,,
Regular Season,4,Tue,20-08-2019,19:45 (00:15),Hull City,0–1,Blackburn,10240,Kingston Communications Stadium,Jeremy Simpson,Match Report,
Regular Season,4,Tue,20-08-2019,19:45 (00:15),Birmingham City,2–0,Barnsley,20061,St Andrew's Trillion Trophy Stadium,Geoff Eltringham,Match Report,
Regular Season,4,Tue,20-08-2019,19:45 (00:15),Middlesbrough,1–0,Wigan Athletic,18649,Riverside Stadium,Keith Stroud,Match Report,
Regular Season,4,Tue,20-08-2019,19:45 (00:15),Derby County,1–2,Bristol City,25546,iPro Stadium,Steve Martin,Match Report,
Regular Season,4,Tue,20-08-2019,19:45 (00:15),Sheffield Weds,1–0,Luton Town,23353,Hillsborough Stadium,David Webb,Match Report,
Regular Season,4,Wed,21-08-2019,19:45 (00:15),Leeds United,1–0,Brentford,35004,Elland Road,Andrew Davies,Match Report,
Regular Season,4,Wed,21-08-2019,19:45 (00:15),Cardiff City,2–1,Huddersfield,21821,Cardiff City Stadium,Jarred Gillett,Match Report,
Regular Season,4,Wed,21-08-2019,19:45 (00:15),Charlton Ath,1–1,Nott'ham Forest,17204,The Valley,Oliver Langford,Match Report,
Regular Season,4,Wed,21-08-2019,19:45 (00:15),QPR,1–3,Swansea City,12287,Loftus Road Stadium,Paul Tierney,Match Report,
Regular Season,4,Wed,21-08-2019,19:45 (00:15),Preston,3–1,Stoke City,11973,Deepdale Stadium,John Brooks,Match Report,
Regular Season,4,Wed,21-08-2019,19:45 (00:15),Fulham,4–0,Millwall,17066,Craven Cottage,Darren Bond,Match Report,
Regular Season,4,Wed,21-08-2019,20:00 (00:30),West Brom,1–1,Reading,21803,The Hawthorns,Peter Bankes,Match Report,
,,,,,,,,,,,,
Regular Season,5,Sat,24-08-2019,12:30 (17:00),Derby County,1–1,West Brom,26718,iPro Stadium,Gavin Ward,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Huddersfield,0–2,Reading,21847,The John Smith's Stadium,Tony Harrington,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),QPR,3–1,Wigan Athletic,11921,Loftus Road Stadium,Matt Donohue,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Barnsley,1–3,Luton Town,13250,Oakwell Stadium,Steve Martin,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Blackburn,0–0,Cardiff City,13291,Ewood Park,David Coote,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Fulham,1–2,Nott'ham Forest,18186,Craven Cottage,Peter Bankes,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Charlton Ath,1–0,Brentford,16771,The Valley,Tim Robinson,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Middlesbrough,1–1,Millwall,19279,Riverside Stadium,John Brooks,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Preston,2–1,Sheffield Weds,15715,Deepdale Stadium,Robert Jones,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Stoke City,0–3,Leeds United,24090,Bet365 Stadium,Darren England,Match Report,
Regular Season,5,Sat,24-08-2019,15:00 (19:30),Hull City,1–3,Bristol City,10458,Kingston Communications Stadium,Dean Whitestone,Match Report,
Regular Season,5,Sun,25-08-2019,12:00 (16:30),Swansea City,3–0,Birmingham City,17277,Liberty Stadium,Andy Woolmer,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,30-08-2019,19:45 (00:15),Cardiff City,1–1,Fulham,22631,Cardiff City Stadium,Tim Robinson,Match Report,
Regular Season,6,Sat,31-08-2019,12:30 (17:00),Bristol City,2–2,Middlesbrough,20757,Ashton Gate Stadium,Lee Mason,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Sheffield Weds,1–2,QPR,23446,Hillsborough Stadium,John Brooks,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Brentford,3–0,Derby County,11055,Griffin Park,David Webb,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Leeds United,0–1,Swansea City,34935,Elland Road,Darren Bond,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),West Brom,3–2,Blackburn,23792,The Hawthorns,Tony Harrington,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Luton Town,2–1,Huddersfield,10062,Kenilworth Road Stadium,Andrew Davies,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Reading,0–2,Charlton Ath,16906,Madejski Stadium,Jarred Gillett,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Nott'ham Forest,1–1,Preston,27249,The City Ground,Geoff Eltringham,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Birmingham City,2–1,Stoke City,20652,St Andrew's Trillion Trophy Stadium,James Linington,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Millwall,1–1,Hull City,12495,The Den,Oliver Langford,Match Report,
Regular Season,6,Sat,31-08-2019,15:00 (19:30),Wigan Athletic,0–0,Barnsley,10214,The DW Stadium,Andy Woolmer,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,13-09-2019,19:45 (00:15),Derby County,1–1,Cardiff City,25873,iPro Stadium,Darren England,Match Report,
Regular Season,7,Sat,14-09-2019,12:30 (17:00),Fulham,1–1,West Brom,17770,Craven Cottage,David Webb,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Blackburn,2–0,Millwall,11873,Ewood Park,Dean Whitestone,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Charlton Ath,0–1,Birmingham City,18752,The Valley,Matt Donohue,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Stoke City,1–2,Bristol City,22357,Bet365 Stadium,Geoff Eltringham,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Middlesbrough,1–0,Reading,19414,Riverside Stadium,Robert Jones,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Swansea City,0–1,Nott'ham Forest,17102,Liberty Stadium,James Linington,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Preston,2–0,Brentford,12873,Deepdale Stadium,David Coote,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),QPR,3–2,Luton Town,16186,Loftus Road Stadium,Jeremy Simpson,Match Report,
Regular Season,7,Sat,14-09-2019,15:00 (19:30),Hull City,2–2,Wigan Athletic,10069,Kingston Communications Stadium,Gavin Ward,Match Report,
Regular Season,7,Sun,15-09-2019,12:00 (16:30),Huddersfield,0–2,Sheffield Weds,22754,The John Smith's Stadium,Simon Hooper,Match Report,
Regular Season,7,Sun,15-09-2019,12:30 (17:00),Barnsley,0–2,Leeds United,17598,Oakwell Stadium,Keith Stroud,Match Report,
,,,,,,,,,,,,
Regular Season,8,Sat,21-09-2019,12:30 (17:00),Leeds United,1–1,Derby County,34741,Elland Road,Oliver Langford,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Sheffield Weds,1–1,Fulham,23342,Hillsborough Stadium,Geoff Eltringham,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Millwall,1–2,QPR,16808,The Den,Peter Bankes,Match Report,
Regular Season,8,Sat,21-09-2019,15:00 (19:30),Brentford,0–0,Stoke City,11870,Griffin Park,Andy Woolmer,Match Report,
